ts,site_id,line_id,event_type,trace_id,job_id,paper_grade,flute,speed_mpm,steam_c,glue_gap_um,moisture_pct,wrap_arm_pos,vibration_mm_s,edge_status,cloud_fallback,optimizer,objective_waste,objective_throughput,objective_stability,candidate_speed_mpm,candidate_steam_c,candidate_glue_gap_um,predicted_setup_waste_kg,predicted_dry_end_waste_pct,edge_version,ingest_ms,prefilter_ms,drift_ms,inference_ms,decision_ms,edge_cpu_pct,edge_mem_pct,ws_clients,tsdb_lag_ms,alerts_queue_depth,action_id,effect_eval_window_s,pre_dry_end_waste_pct,post_dry_end_waste_pct,action_effect_waste_saved_kg,effect_confidence,action_title,action_steps_json,action_confidence,action_valid_for_s,action_source,forecast_horizon_s,forecast_setup_waste_kg_mean,forecast_setup_waste_kg_p90,forecast_setup_waste_kg_p10,forecast_dry_end_waste_pct_mean,next_job_id,changeover_eta_min,next_paper_grade,next_flute,suggested_speed_mpm,suggested_steam_c,suggested_glue_gap_um,expected_setup_waste_kg_low,expected_setup_waste_kg_high,operator_response,operator_latency_ms,operator_notes,channel,drift_method,drift_score,drift_status,drift_threshold,Start shift time,End shift time
2025-06-29 18:36:00,PLANT-02,LINE-A,setup,tr-984005-765170,job-472668-865223,White Top 200gsm,BC,157.0,194.0,1118,6.66,68,1.56,ok,1,Edge Optimizer v3.1,1,0,0,154.36,194.42,1000.12,123.3,4.28,edge-1.9.4,258,89,93,58,71,52.8,61.7,3,166,6,act-400347-481026,1800,4.39,4.15,9.6,0.61,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.74,900,edge,900,110.2,126.4,107.5,4.43,job-746569-229684,53,Testliner 200gsm,C,157.23,197.82,989.75,107.5,126.4,acknowledged,509,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.57,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 18:48:00,PLANT-02,LINE-C,setup,tr-109907-645645,job-768522-719664,Testliner 200gsm,BC,174.0,186.0,988,6.31,64,1.14,ok,0,Edge Optimizer v3.1,0,1,0,169.09,188.5,889.6,112.4,3.91,edge-1.9.4,280,98,61,43,79,42.4,70.9,1,219,3,act-129809-849349,1800,4.16,4.02,9.9,0.58,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.67,900,edge,900,115.9,124.8,99.8,4.12,job-930477-436501,32,Kraft 120gsm,E,164.46,188.76,916.91,99.8,124.8,acknowledged,727,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.39,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 19:00:00,PLANT-02,LINE-C,setup,tr-977859-155438,job-830630-970544,Kraft 180gsm,C,210.0,193.0,858,6.5,41,0.4,ok,0,Edge Optimizer v3.1,1,1,0,211.79,195.43,872.18,126.9,3.2,edge-1.9.4,181,102,56,64,104,59.9,78.6,2,271,4,act-470983-657027,1800,3.5,3.4,8.5,0.78,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.75,900,edge,900,108.9,119.1,104.2,3.24,job-432101-664962,51,Medium 112gsm,B,221.41,197.87,896.25,104.2,119.1,acknowledged,362,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.17,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 19:12:00,PLANT-01,LINE-B,adjust,tr-795289-188871,job-824102-771250,Kraft 120gsm,B,218.0,189.0,746,6.95,46,1.66,ok,1,Edge Optimizer v3.1,1,1,0,189.0,190.94,527.02,55.3,2.55,edge-1.9.4,237,43,76,85,63,75.6,61.2,3,302,6,act-578489-164413,1800,2.86,2.65,7.9,0.53,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.68,900,edge,900,52.5,55.4,48.5,2.34,job-743406-838754,37,Medium 112gsm,E,187.87,192.41,505.17,48.5,55.4,acknowledged,669,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.33,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 19:24:00,PLANT-01,LINE-B,adjust,tr-106258-955816,job-366357-126185,Testliner 200gsm,C,219.0,188.0,990,6.07,43,1.26,ok,0,Edge Optimizer v3.1,1,1,1,200.29,190.29,1023.61,111.6,3.64,edge-1.9.4,113,69,98,60,68,61.2,64.9,5,222,3,act-985058-213555,1800,3.63,3.51,11.1,0.72,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.87,900,edge,900,98.7,130.8,107.2,3.47,job-171022-708679,43,White Top 200gsm,C,191.01,187.88,1019.48,107.2,130.8,acknowledged,550,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.38,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 19:36:00,PLANT-02,LINE-B,run,tr-764866-363478,job-126167-168576,Kraft 120gsm,E,247.0,180.0,579,6.3,60,1.33,ok,1,Edge Optimizer v3.1,1,1,1,255.68,184.16,661.46,58.0,2.02,edge-1.9.4,249,77,96,88,82,40.4,59.5,4,299,6,act-891089-426557,1800,2.67,2.43,7.5,0.72,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.78,900,edge,900,65.4,55.9,48.7,1.98,job-531015-522854,26,Kraft 180gsm,C,260.84,181.84,676.43,48.7,55.9,acknowledged,592,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.34,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 19:48:00,PLANT-02,LINE-A,run,tr-274404-945801,job-447169-567761,Kraft 120gsm,E,243.0,178.0,648,6.38,58,0.45,ok,0,Edge Optimizer v3.1,1,1,0,238.32,184.44,566.62,58.0,1.92,edge-1.9.4,196,71,62,98,90,62.4,43.5,5,299,1,act-752488-803185,1800,2.23,1.51,9.2,0.56,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.59,900,edge,900,50.7,63.1,53.1,2.17,job-174626-568458,29,Kraft 120gsm,B,245.17,184.31,574.92,53.1,63.1,acknowledged,759,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.17,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 20:00:00,PLANT-01,LINE-B,alert,tr-769048-870671,job-650732-426215,Kraft 180gsm,BC,188.0,193.0,1160,6.59,60,1.3,ok,1,Edge Optimizer v3.1,0,1,1,181.48,182.33,1142.98,103.0,3.79,edge-1.9.4,184,74,64,71,99,59.9,47.5,7,423,2,act-295001-564058,1800,3.89,3.78,5.7,0.66,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.65,900,edge,900,107.2,102.4,112.3,3.32,job-429800-622124,37,White Top 200gsm,BC,180.05,179.95,1088.98,112.3,102.4,acknowledged,483,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.58,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 20:12:00,PLANT-01,LINE-A,run,tr-225515-164334,job-436768-794270,Medium 112gsm,E,255.0,187.0,595,6.38,53,1.3,ok,1,Edge Optimizer v3.1,1,1,1,262.06,184.68,629.13,68.0,1.61,edge-1.9.4,245,96,110,113,115,59.2,56.4,3,431,3,act-712591-729684,1800,2.54,2.21,4.2,0.68,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.56,900,edge,900,64.8,73.4,60.4,1.45,job-727325-869726,36,Kraft 180gsm,C,265.77,184.2,636.27,60.4,73.4,acknowledged,451,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.44,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 20:24:00,PLANT-03,LINE-C,adjust,tr-255989-766814,job-956538-638393,Medium 112gsm,B,227.0,185.0,842,6.15,58,0.54,ok,0,Edge Optimizer v3.1,0,1,1,200.15,189.2,822.45,56.9,2.51,edge-1.9.4,174,76,86,62,58,64.9,50.6,7,313,4,act-409398-128340,1800,3.19,3.16,5.9,0.7,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.63,900,edge,900,58.8,88.2,42.0,2.35,job-773831-805201,29,Medium 140gsm,C,201.9,190.84,799.62,42.0,88.2,acknowledged,428,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.0,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 20:36:00,PLANT-01,LINE-B,run,tr-875467-252850,job-629288-874846,Kraft 180gsm,BC,177.0,188.0,1072,6.73,38,1.61,ok,1,Edge Optimizer v3.1,0,0,0,166.94,182.64,989.23,111.9,3.94,edge-1.9.4,321,80,87,90,100,61.7,59.8,1,435,3,act-528827-402670,1800,4.26,4.11,15.4,0.71,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.75,900,edge,900,112.7,117.3,112.8,3.87,job-294375-360286,39,Medium 140gsm,C,164.2,183.39,968.87,112.8,117.3,acknowledged,100,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.5,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 20:48:00,PLANT-02,LINE-A,setup,tr-175616-403243,job-263486-567880,Testliner 150gsm,C,212.0,190.0,894,6.06,65,1.2,ok,1,Edge Optimizer v3.1,1,1,1,198.77,190.32,899.2,92.7,3.24,edge-1.9.4,143,79,57,68,62,54.8,68.8,7,50,3,act-212177-106043,1800,3.02,2.74,11.7,0.69,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.67,900,edge,900,83.0,101.6,75.0,3.39,job-681133-698840,55,Kraft 120gsm,E,205.3,187.27,940.57,75.0,101.6,acknowledged,292,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.22,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 21:00:00,PLANT-01,LINE-A,alert,tr-708932-691010,job-143119-299574,Kraft 120gsm,E,249.0,188.0,662,6.04,67,0.4,ok,1,Edge Optimizer v3.1,1,0,0,263.58,193.35,500.0,54.6,2.23,edge-1.9.4,180,112,94,109,104,44.8,60.4,3,334,6,act-495598-613320,1800,2.51,2.41,7.3,0.71,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.83,900,edge,900,73.3,63.1,36.4,2.37,job-200093-169664,57,White Top 200gsm,BC,264.21,193.1,512.92,36.4,63.1,acknowledged,488,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.06,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 21:12:00,PLANT-02,LINE-B,alert,tr-376251-279319,job-147374-253444,Testliner 200gsm,BC,178.0,190.0,1065,6.55,63,0.73,ok,1,Edge Optimizer v3.1,0,0,0,181.49,191.5,1102.33,97.0,3.93,edge-1.9.4,223,86,76,74,71,53.6,56.5,3,230,3,act-690599-325081,1800,3.56,3.31,4.4,0.62,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.64,900,edge,900,111.1,111.8,108.6,4.01,job-879310-465268,39,White Top 200gsm,BC,176.29,187.67,1159.32,108.6,111.8,acknowledged,644,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.08,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 21:24:00,PLANT-03,LINE-A,setup,tr-531302-708827,job-807047-868267,White Top 170gsm,C,201.0,186.0,953,6.86,48,1.76,ok,1,Edge Optimizer v3.1,0,1,1,191.18,173.8,825.04,79.9,3.31,edge-1.9.4,211,61,108,84,73,50.0,61.4,2,293,2,act-671976-506053,1800,3.72,3.64,1.0,0.78,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.59,900,edge,900,93.0,89.1,80.0,3.3,job-395379-702627,45,Testliner 150gsm,C,188.04,172.82,834.01,80.0,89.1,acknowledged,873,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.59,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 21:36:00,PLANT-01,LINE-B,adjust,tr-289972-966464,job-807114-718608,Testliner 200gsm,C,210.0,190.0,1087,6.36,63,1.66,ok,0,Edge Optimizer v3.1,1,0,1,237.45,188.18,1243.43,109.3,3.06,edge-1.9.4,239,55,78,88,76,58.2,65.5,6,296,2,act-264438-713997,1800,3.3,3.08,14.1,0.7,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.67,900,edge,900,110.1,123.8,104.5,3.25,job-558362-315500,41,Testliner 150gsm,C,233.67,190.28,1256.77,104.5,123.8,acknowledged,544,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.26,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 21:48:00,PLANT-02,LINE-A,alert,tr-912229-242616,job-797174-362280,Medium 140gsm,C,197.0,183.0,870,7.1,66,1.93,ok,1,Edge Optimizer v3.1,0,1,1,194.98,187.65,861.96,105.1,2.98,edge-1.9.4,146,108,113,68,53,64.0,54.6,6,547,5,act-387035-582057,1800,3.33,2.62,9.0,0.46,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.64,900,edge,900,105.4,134.0,106.7,2.89,job-886417-811144,41,Kraft 120gsm,E,195.07,187.73,857.01,106.7,134.0,acknowledged,183,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.49,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 22:00:00,PLANT-02,LINE-B,adjust,tr-891630-697511,job-114220-916058,White Top 200gsm,C,184.0,186.0,1089,6.52,55,0.68,ok,0,Edge Optimizer v3.1,1,0,1,188.3,184.24,1193.11,115.1,2.99,edge-1.9.4,146,35,109,64,56,48.7,69.2,5,476,2,act-920882-334795,1800,3.68,3.35,9.6,0.73,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.76,900,edge,900,111.9,127.9,118.8,2.9,job-204538-861736,44,Kraft 120gsm,E,189.07,185.96,1166.72,118.8,127.9,acknowledged,396,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.31,normal,0.6,2025-06-29 22:00:00,2025-06-30 06:00:00
